,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
176,2015,Confirmed,Ananta Bijoy Das,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Sylhet,,,Sylhet,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"May 12, 2015","Four unidentified assailants wielding cleavers and machetes hacked Ananta Bijoy Das to death on a busy street as the blogger was heading to work in the city of Sylhet, according to news reports. Kamrul Hasan, commissioner of Sylhet police, told local journalists that the four assailants fled the scene."
177,2019,Confirmed,Anas al-Dyab,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Freelance,Freelance,"Camera Operator,Photographer","Human Rights,War","Internet,Television",Syria,Khan Shaykhun,,,Khan Shaykhun,Idlib,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"July 21, 2019","Syrian freelance journalist Anas al-Dyab was killed in an airstrike in the northwestern Syrian city of Khan Shaykhun, in Idlib province, on July 21, 2019, according to news reports and the Syrian Journalists’ Association, a France-based press freedom group."
178,2012,Confirmed,Anas al-Tarsha,,Syria,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/anasal-tarsh.fb1.jpg,,Journalist,,Crossfire,Killed,Freelance,Freelance,Camera Operator,"Human Rights,War",Internet,Syria,Homs,,,Homs,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"February 24, 2012","Al-Tarsha, a videographer who documented unrest in thebesieged city of Homs, was killedby a mortar round while filming the bombardment of the city’s QarabeesDistrict, according to news reports. The central city had been under dailyattack for more than three weeks as the Syrian government’s assault onopposition strongholds escalated in intensity. Al-Tarsha was the fourth mediafatality in Homs within a week.  The 17-year old videographer regularly filmed clashes andmilitary movements, and posted the footage on YouTube, news reports and localactivists said. Al-Tarsha, who was also known as “Anas al-Homsi,” had beeninterviewed by Arabic broadcastersfor information about fatalities and attacks on the city. His footage appearedon the sites of citizen news organizations that publish thousands of videosdocumenting the violence."
179,1994,Confirmed,Anastase Seruvumba,,Rwanda,,,Male,,,Journalist,,Murder,Killed,Staff,Imbaga,Print Reporter,,Print,Rwanda,Unknown,,,Unknown,,Local,Paramilitary Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"April 29, 1994","Seruvumba, a journalist with the opposition paper Imbaga, waskilled after having been denounced. He had returned to Rwanda inJanuary 1994 after two years of study in Switzerland. He also workedfor Kinyamateka newspaper."
180,2009,Confirmed,Anastasiya Baburova,,Russia,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/anastasiya_baburova_russia_2009.jpg,Novaya Gazeta,Journalist,,Murder,Killed,Freelance,Novaya Gazeta,Print Reporter,Human Rights,Print,Russia,Moscow ,,,Moscow ,,Local,Political Group,Confirmed,,,Full Justice,No,No,No,,,,,,,,,,"January 19, 2009","An assailant wearing a ski mask shot Baburova, 25, a freelance correspondent for the independent newspaper Novaya Gazeta, at around 3 p.m. on a downtown street within walking distance of the Kremlin. Baburova had just covered a news conference at which prominent human rights lawyer Stanislav Markelov fiercely denounced the early prison release of a Russian army officer convicted in the March 2000 abduction and murder of a Chechen girl. The lawyer and journalist had just left the Independent Press Center, where the news conference was held, and were chatting as they strolled outside."
181,2014,Confirmed,Anatoly Klyan,,,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Pervy Kanal,Camera Operator,"Politics,War",Television,Ukraine,Donetsk,,,Donetsk,,Foreign,Military Officials,Confirmed,,No,,,,,,,,,,,,,,"June 30, 2014","Anatoly Klyan, 68, a camera operator for the Russian state-owned broadcaster Pervy Kanal (Channel One), died on June 30, 2014, at a hospital in Donetsk, Ukraine, from bullet wounds in his abdomen, local and international press reported. Channel One said Klyan was wounded when the bus in which he was traveling came under fire."
182,1998,Confirmed,Anatoly Levin-Utkin,,Russia,,,Male,,,Journalist,,Murder,Killed,Staff,Yuridichesky Peterburg Segodnya,Editor,"Corruption,Politics",Print,Russia,St. Petersburg,,,St. Petersburg,,Local,Government Officials,Confirmed,,,Complete Impunity,Yes,No,Yes,,,,,,,,,,"August 24, 1998","Levin-Utkin, deputy editor of the weekly newspaper Yuridichesky Peterburg Segodnya, was beaten unconscious on August 21 in the doorway of his apartment and robbed of his briefcase, which contained information for the next installment in an investigative series on rivalries between local financial and political figures. Cash and personal valuables were also taken."
183,2009,Confirmed,Ando Ratovonirina,,Madagascar,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Ratovonirina.Madagascar.2009.jpg,Photo by Mirindra Rabarivelo,Journalist,,Dangerous Assignment,Killed,Staff,Radio Télévision Analamanga,"Broadcast Reporter,Camera Operator",Politics,Television,Madagascar,Antananarivo,,,Antananarivo,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"February 7, 2009","Ratovonirina, a reporter and cameraman for the privatebroadcaster Radio Télévision Analamanga (RTA), was shot dead by presidentialguards while covering an antigovernment demonstration in the capital, Antananarivo, according towitnesses."
184,1994,Confirmed,André Kameya,,Rwanda,,,Male,,,Journalist,,Murder,Killed,Staff,Rwanda Rushya,Editor,Politics,Print,Rwanda,Rwanda,,,Rwanda,,Local,Paramilitary Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"April-June, 1994","Kameya, editor-in-chief of the newspaper Rwanda Rushya and anofficial of the opposition Liberal Party, was killed with his wife andson. Kameya had been imprisoned and threatened with death under theHutu-dominated Habyarimana regime on several occasions since 1991."
185,2014,Confirmed,Andrea Rocchelli,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/andrea.rocchelli.ap.jpg,AP,Journalist,,Crossfire,Killed,Freelance,Cesura photo agency,Photographer,"Human Rights,War","Print,Internet",Ukraine,Andreyevka,,,Andreyevka,,Foreign,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"May 24, 2014","Italian photojournalist Andrea Rocchelli and Andrei Mironov, a translator, were killed on May 24, 2014, while covering clashes between Ukrainian forces and pro-Russian separatists near the eastern Ukrainian city of Sloviansk, according to regional and international media reports."
186,1993,Confirmed,Andrei Soloviev,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Soloviev.Russia.1993.1.jpg,AP,Journalist,,Crossfire,Killed,Staff,ITAR-TASS,Photographer,War,Print,Georgia,Sukhumi,,,Sukhumi,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,,"September 27, 1993","Soloviev, a photo correspondent for ITAR-TASS, was killed by a sniper as he covered the fighting in Sukhumi."
187,2014,Confirmed,Andrei Stenin,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,Rossiya Segodnya,Photographer,"Human Rights,War","Print,Internet",Ukraine,Snizhne,,,Snizhne,,Foreign,,Confirmed,,,,,,,,,,,,,,,,"August 6, 2014","Stenin, 33, a photojournalist with Russian state-owned news agency Rossiya Segodnya (previously RIA Novosti), was last heard from on August 5, 2014, when he was reporting on the conflict in eastern Ukraine, including from the cities of Donetsk and Sloviansk, his newsroom reported."
188,2009,Confirmed,Andres Teodoro,,Philippines,,,Male,,,Journalist,,Murder,Killed,Staff,Central Mindanao Inquirer,Editor,Politics,Print,Philippines,Ampatuan,,,Ampatuan,,Local,Government Officials,Confirmed,,,Partial Impunity,Yes,Yes,No,,,,,,,,,,"November 23, 2009","In the deadliest event for the press ever recorded by CPJ, 30 Philippine journalists and two media support workers were ambushed and brutally slain on November 23 as they traveled in Maguindanao province with a convoy of people who intended to file gubernatorial candidacy papers for a local politician. In all, 57 people were killed in a shocking display of barbarism apparently motivated by political clan rivalries. Most of the bodies were dumped in a mass hillside grave in the town of Ampatuan."
189,2018,Confirmed,Ángel Eduardo Gahona,,Nicaragua,,,Male,https://cpj-photos.s3.amazonaws.com/Angel%20Gahona_Migueliuth%20Sandoval-2018-05-11-1526073358034.jpg,Migueliuth Sandoval,Journalist,Killed,Dangerous Assignment,Killed,Staff,El Meridiano,"Broadcast Reporter,Internet Reporter,Producer","Business,Crime,Culture,Politics","Television,Internet",Nicaragua,Bluefields,,,Bluefields,,Local,"Government Officials,Local Residents",Confirmed,,No,,,,,,,,,,,,,,"April 21, 2018","Nicaraguan journalist Ángel Eduardo Gahona, the director of the local, independent television program El Meridiano, was fatally shot on April 21, 2018, while covering protests against pension reforms that left at least 45 people dead over five days, including police and demonstrators, according to news reports."
190,2009,Confirmed,Anil Mazumdar,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Aji,Editor,"Business,Corruption,Crime,Culture,Human Rights,Politics,War",Print,India,"Rajgarh, Assam",,,"Rajgarh, Assam",,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"March 24, 2009","Unidentified gunmen shot dead Mazumdar, the editor of an Assamese language daily Aji, as he was returning from his office outside his home in Rajgarh. His driver, Ramen Nath, and neighbors rushed him to a hospital, where Mazumdar was declared dead, according to the Telegraph."
191,2014,Confirmed,Anja Niedringhaus,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/anja.ap.jpg,AP,Journalist,,Dangerous Assignment,Killed,Staff,The Associated Press,Photographer,"Human Rights,War","Print,Internet",Afghanistan,Khost,,,Khost,,Foreign,Government Officials,Confirmed,,Yes,,,,,,,,,,,,,,"April 4, 2014","Niedringhaus, 48, a German photographer for The Associated Press, was shot dead by a police officer who walked up to her car, said “Allahu Akbar” (God is great), and opened fire, according to the AP and news reports. Kathy Gannon, AP special correspondent for the region, was wounded in the attack. The two were in a car with a translator and another AP freelance photographer."
192,2006,Confirmed,Anna Politkovskaya,,Russia,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/politkovskaya.2006.jpg,,Journalist,,Murder,Killed,Staff,Novaya Gazeta,Print Reporter,"Corruption,Human Rights,War",Print,Russia,Moscow,,,Moscow,,Local,Government Officials,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"October 7, 2006","Politkovskaya, 48, a journalist renowned for her critical coverage of the Chechen conflict, was found slain in her apartment building in Moscow, according to international news reports. The Interfax news agency, citing police, said Politkovskaya had been shot and that a pistol and four bullet casings had been found."
193,1993,Confirmed,Anthony Macharia,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Macharia.Somalia.1.1993.jpg,Reuters,Journalist,,Murder,Killed,Staff,Reuters,Technician,War,Television,Somalia,Mogadishu,,,Mogadishu,,Foreign,Mob Violence,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"July 12, 1993","Macharia, a Kenyan soundman working for Reuters; Hansi Krauss, a German photographer with the Associated Press; Hosea Maina, aKenyan photographer working for Reuters; and Dan Eldon, photographer holdingBritish and American passports and working for Reuters, were killed when a crowd, angeredby a the death of more than 70 Somalis in an aerial attack on GeneralMohamed Farah Aidid’s command post, set upon them wielding rocks,clubs, and guns. The four journalists, as well as Mohamed Shaffi,another Kenyan soundman for Reuters Television, were invited to viewthe damage after the attack and were escorted to the scene when thecrowd turned on them."
194,2004,Confirmed,Antoine Massé,,Ivory Coast,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Le Courrier d'Abidjan,Print Reporter,Human Rights,Print,Ivory Coast,Duékoué ,,,Duékoué ,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"November 7, 2004","Massé, a correspondent for the private daily Le Courrierd’Abidjan, was fatally shot while covering violent clashes betweenFrench troops and demonstrators in the western Ivoirian town of Duékoué,his editor told CPJ."
195,2011,Confirmed,Anton Hammerl,,South Africa,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Hammerl.ap1.jpg,AP,Journalist,,Crossfire,Killed,Freelance,Freelance,Photographer,War,Print,Libya,an area near Brega,,,an area near Brega,,Foreign,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"April 5, 2011","Hammerl, a 41-year-old photographer of South African andAustrian descent, was shot and killed by government forces near Brega ineastern Libya on April 5. Three journalists traveling with him were detained by Libyan authorities until May18 and announced Hammerl’s death after they were released."
196,1996,Confirmed,Antonio Casemero,,Angola,,,Male,,,Journalist,,Murder,Killed,Staff,Televisao Popular de Angola,Broadcast Reporter,"Culture,Politics",Television,Angola,Cabinda,,,Cabinda,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 30, 1996","Casemero, a correspondent in Cabinda for Televisao Popular de Angola, the state-owned television station, was fatally shot October 30 at his home in Cabinda, reportedly by police. Colleagues say that a regional official in Cabinda had harassed him several weeks earlier."
197,2004,Confirmed,Antonio de la Torre Echeandía,,Peru,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Órbita,Broadcast Reporter,"Crime,Politics",Radio,Peru,Yungay,,,Yungay,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"February 14, 2004","De la Torre, host of “El equipo de la noticia” (The News Team)on Radio Órbita in the city of Yungay, in the northern departmentof Ancash, was murdered after leaving a party in the evening."
198,1999,Confirmed,Anura Priyantha,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Independent Television Network,Technician,Politics,Television,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"December 18, 1999","Indika Pathinivasan, a camera assistant for Sri Lanka’s privately ownedMaharaja Television Network, and Anura Priyantha, a camera assistant for thestate-owned Independent Television Network, were fatally wounded byshrapnel from a suicide bomb aimed at President Chandrika BandaranaikeKumaratunga at an election rally in Colombo. Five other journalistswere injured by the blast, along with Kumaratunga and scores ofonlookers."
199,2003,Confirmed,"Apolinario ""Polly"" Pobeda",,Philippines,,,Male,,,Journalist,,Murder,Killed,Staff,DWTI Radio,Columnist/Commentator,"Corruption,Crime",Radio,Philippines,"Lucena City, Quezon",,,"Lucena City, Quezon",,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"May 17, 2003","At about 6:00 a.m., two unidentified gunmen stopped radio host Pobeda as he rode his motorcycle to work in Lucena City, Quezon Province, and shot him repeatedly, according to Philippine press reports. Pobeda suffered seven gunshot wounds, including one to his head. He was brought to a hospital, where he was declared dead on arrival."
200,2010,Confirmed,Ardiansyah Matra'is,,Indonesia,,,Male,,,Journalist,,Murder,Killed,Staff,Merauke TV,Broadcast Reporter,"Business,Corruption,Politics",Television,Indonesia,Merauke,,,Merauke,,Local,,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"July 30, 2010","A rescue team found the body of Matra’is near the Gudang ArangRiver, two days after hisfamily reported him missing in Merauke, a small town on the southern tip ofPapua province, according to news reports."
201,2007,Confirmed,Aref Ali Filaih,,Iraq,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Aswat al-Iraq,Print Reporter,War,Print,Iraq,Al-Khalis,,,Al-Khalis,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 11, 2007","Filaih, correspondent for the independent news agency Aswat al-Iraq, was killed by a roadside bomb while driving to an assignment south of Al-Khalis in Diyala province, Aswat al-Iraq reported. Filaih, 32, had worked as Aswat al-Iraq’s correspondent in the violence-plagued province since December 2006, the news agency said."
202,1995,Confirmed,Aristeu Guida da Silva,,Brazil,,,Male,,,Journalist,,Murder,Killed,Staff,A Gazeta de São Fidélis,Publisher/Owner,Corruption,Print,Brazil,São Fidélis,,,São Fidélis,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"May 12, 1995","Guida da Silva, owner of the weekly A Gazeta de São Fidélis in the city of São Fidélis, northwest of Rio de Janeiro, was shot dead in front of his house by two hooded men riding a motorbike. Guida da Silva’s father reported that the journalist received death threats for articles he had written accusing the president of the local municipal council of corruption. No one has been apprehended."
203,2017,Confirmed,Arkan Sharifi,,Iraq,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Kurdistan TV,Camera Operator,"Politics,War",Television,Iraq,Daquq,,,Daquq,Kirkuk,Local,"Political Group,Paramilitary Group",Confirmed,,,Complete Impunity,Yes,No,No,,,,,,,,,,"October 30, 2017","On the morning of October 30, 2017, eight masked men forced their way into the home of Arkan Sharifi, a cameraman for Kurdistan TV, and stabbed the journalist to death in front of his family in the city of Daquq in north central Iraq, his employer and other local media reported. Sharifi had returned to Daquq four days before he was killed, having fled the area when the Iraqi-led Popular Mobilization Forces seized Daquq, according to Kurdistan TV. On October 20, the Iraqi Army and the Popular Mobilization Forces, an umbrella group consisting of mainly Shiite militias, retook Kirkuk and other disputed areas under de facto Kurdish control following a Kurdish independence referendum in northern Iraq that the Iraqi government said was unconstitutional.   Halo Jabary, a Kurdistan TV reporter and Sharifi’s distant relative, told CPJ that the eight assailants, who were masked and wore military fatigues, stormed into Sharifi’s house and identified themselves as members of the Popular Mobilization Forces. “They asked him if he worked as cameraman in the district of Daquq, He said that he did, but that he had never harmed anybody. The gunmen, who spoke Turkmen, took Sharifi’s wife and children to another room and locked them in,” Jabary said, recounting what a witness to the incident who wished to remain anonymous for safety reasons told him. “The gunmen then stabbed Sharifi to death. His body had more than 40 stab wounds. The assailants subsequently went out and started firing their guns in front of the house to terrify the neighbors and prevent them from coming to help Arkan’s wife and children.”Jabary said that the men allowed the wife and children out of the house at around 7 a.m. at which time neighbors and relatives moved Sharifi’s body to the morgue.  Pictures widely shared on social media show the body lying in a pool of blood, with multiple stab wounds in the torso and a knife sticking out of the mouth."
204,2006,Confirmed,Armando Pace,,Philippines,,,Male,,,Journalist,,Murder,Killed,Freelance,DXDS,Columnist/Commentator,Politics,Radio,Philippines,Digos City,,,Digos City,,Local,,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"July 18, 2006","Pace, 51, an outspoken block-time commentator on Radyo UkayDXDS, was shot in the head and chest by two motorcycle-riding assailants whiletraveling home from work on a busy street in DigosCity on the island of Mindanao."
205,2015,Confirmed,Armando Saldaña Morales,,Mexico,,,Male,,,Journalist,,Murder,Killed,Staff,La Ke Buena 100.9 FM,Broadcast Reporter,Crime,Radio,Mexico,Oaxaca,,,Oaxaca,,Local,Criminal Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,"May 2,3 or 4, 2015","Saldaña’s body was found alongside an abandoned white pickup truck without license plates at around 3:40 p.m. on May 4 in the municipality of Acatlán de Pérez Figueroa in Oaxaca state, just across the state border of Veracruz where he lived, according to the Oaxaca state attorney general’s office and news reports. He was shot four times in the head and his body showed signs of abuse, the local press said."
206,2004,Confirmed,Arnnel Manalo,,Philippines,,,Male,,,Journalist,,Murder,Killed,Staff,Bulgar and DZRH Radio,"Broadcast Reporter,Print Reporter","Corruption,Politics","Print,Radio",Philippines,Bauan,,,Bauan,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"August 5, 2004","Gunmen ambushed and killed Manalo, 42, a correspondent for the Manilatabloid Bulgar and radio station DZRH, in the morning, shortlyafter he dropped off his children at school, according to internationalnews reports and local journalists. Two men on a motorcycle shot Manalo three times at 7:15 a.m. whilehe was returning home in Bauan, Batangas Province, about 60 miles(100 kilometers) south of the capital, Manila, according to news reports."
207,1994,Confirmed,Artur Gilela,,Angola,,,Male,,,Journalist,,Crossfire,Killed,Staff,Radio Nacional de Angola,Technician,War,Radio,Angola,Kuito,,,Kuito,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 16, 1994","Gilela, a sound engineer with Angolan National Radio was killed covering heavy fighting in Kuito between government forces and rebels of the National Union for the Total Independence of Angola (UNITA)."
208,2009,Confirmed,Arturo Betia,,Philippines,,,Male,,,Journalist,,Murder,Killed,Staff,Periodico Ini,Print Reporter,Politics,Print,Philippines,Ampatuan,,,Ampatuan,,Local,Government Officials,Confirmed,,,Partial Impunity,Yes,Yes,No,,,,,,,,,,"November 23, 2009","In the deadliest event for the press ever recorded by CPJ, 30 Philippine journalists and two media support workers were ambushed and brutally slain on November 23 as they traveled in Maguindanao province with a convoy of people who intended to file gubernatorial candidacy papers for a local politician. In all, 57 people were killed in a shocking display of barbarism apparently motivated by political clan rivalries. Most of the bodies were dumped in a mass hillside grave in the town of Ampatuan."
209,2004,Confirmed,Asaad Kadhim,,Iraq,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al-Iraqiya TV,Broadcast Reporter,War,Television,Iraq,near Samara,,,near Samara,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"April 19, 2004","Kadhim, a correspondent for the U.S.-funded Al-Iraqiya TV, and hisdriver, Hussein Saleh, were killed by gunfire from U.S. forces neara checkpoint close to the Iraqi city of Samara, about 75 miles (120kilometers) northwest of the capital, Baghdad. Cameraman Jassem Kamelwas injured in the shooting."
210,2011,Confirmed,Asfandyar Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Akhbar-e-Khyber,Print Reporter,"Crime,Politics",Print,Pakistan,Peshawar,,,Peshawar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 11, 2011","Asfandyar Khan, a reporter for the newspaperAkhbar-e-Khyber, died in a double bombing that took the lives of more thanthree dozen people. Shafiullah Khan, a trainee reporter at the daily The News,died six days later from extensive burns and shrapnel wounds suffered in theattack. Seven other journalists were injured."
211,2008,Confirmed,Ashok Sodhi,,India,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/ashok_sodhi_india_2008.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,Daily Excelsior,Photographer,,Print,India,Samba,,,Samba,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"May 11, 2008","Sodhi, a senior photographer with the local English-language Daily Excelsior in Indian-controlled Kashmir, was killed in crossfire in Samba, close to the border with Pakistan, according to news reports."
212,2004,Confirmed,Asiya Jeelani,,India,,,Female,,,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Print Reporter,Human Rights,Print,India,Kashmir,,,Kashmir,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"April 20, 2004","Jeelani died en route to the hospital after a van carrying an electionsmonitoring team detonated an explosive device on a rural road in northernKashmir. Jeelani was a freelance journalist who contributed to local newspapers,and a human rights activist who worked with several nongovernmentalorganizations. Local sources said she was helping a local umbrellaorganization, the Coalition of Civil Society, prepare an account ofits monitoring activity, and may have been reporting on the electionherself. The driver of the van was also killed in the blast. After the explosion,the coalition called off its monitoring activities, citing the dangerinvolved."
213,2013,Confirmed,Aslam Durrani,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Daily Pakistan,Editor,Politics,Print,Pakistan,Peshawar,,,Peshawar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"April 16, 2013","Durrani, 55, news editor of the Urdu-language DailyPakistan, was killed in a suicide bomb attack during a political rally forthe Awami National Party in the northwestern provincial capital of Peshawar,according to news reports. His death was confirmed to CPJ by a staff member atthe Lahore offices of the paper by phone. News reports also identified him as Tariq Aslam Durrani."
214,2010,Confirmed,Assaf Abu Rahal,,Lebanon,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/assaf.jpg,Photo: Al-Akhbar,Journalist,,Crossfire,Killed,Staff,Al-Akhbar,Print Reporter,War,Print,Lebanon,an area near Al-Adaysseh,,,an area near Al-Adaysseh,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"August 3, 2010","Abu Rahal, 55, a reporter for the Lebanese daily Al-Akhbar, was killed during a borderclash between Israeli and Lebanese military forces near the southern town of Al-Adaysseh, according tonews reports. He was struck by an Israeli shell after a skirmish broke outshortly after noon, news reports said. The fighting was apparently triggered byan Israeli tree-cutting operation along the border, according to news reports."
215,2006,Confirmed,Aswan Ahmed Lutfallah,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/aswan_ahmed_lutfallah_iraq_2006.jpg,AP,Journalist,,Murder,Killed,Staff,APTN,Camera Operator,War,Television,Iraq,Mosul,,,Mosul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"December 12, 2006","Gunmen killed Lutfallah, 35, an Iraqi cameraman for Associated Press Television News, as he covered clashes between insurgents and police in the northern city of Mosul. The Associated Press reported that Lutfallah was having his car repaired in the city’s eastern Al-Karama neighborhood when insurgents and police began fighting nearby. He rushed to cover the clash. Police Brig. Abdul-Karim Ahmed Khalaf said insurgents spotted him filming, approached him, and shot him to death, AP reported. Lutfallah had not reported any prior threats against him, the news agency added."
216,2014,Confirmed,Atallah Bajbouj,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Nabaa Media Foundation,"Camera Operator,Internet Reporter","Human Rights,Politics,War",Internet,Syria,Daraa,,,Daraa,,Local,,Confirmed,,,,,,,,,,,,,,,,"October 15, 2014","Bajbouj died almost a week after sustaining injuries to his head from mortar shell shrapnel, according to the Syrian Journalists Association and his media group, the Nabaa Media Foundation. Bajbouj was transferred to a hospital in Jordan for treatment but died on October 15, 2014, according to the reports."
217,2008,Confirmed,Athiwat Chaiyanurat,,Thailand,,,Male,,,Journalist,,Murder,Killed,Staff,"Matichon, Channel 7","Broadcast Reporter,Print Reporter",Corruption,"Print,Television",Thailand,Chaiyamontri,,,Chaiyamontri,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"August 1, 2008","A reporter with the Thai-language daily newspaper Matichon and a stringer for thearmy-owned television station Channel 7, Athiwat was found dead in his home inthe town of Chaiyamontri in the southern province of Nakhon Si Thammarat. Police investigators quoted in the local media said thereporter was shot twice, in the back and in the head, and that his murder tookplace while he was cooking in his kitchen at home at around 8 p.m."
218,2006,Confirmed,Atilano Segundo Pérez Barrios,,Colombia,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Vigía de Todelar,Columnist/Commentator,"Corruption,Politics",Radio,Colombia,Cartagena,,,Cartagena,,Local,Paramilitary Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"August 22, 2006","Pérez, 52, host of the weekly program “El Diario de Marialabaja,” waskilled by an unidentified assailant who forced his way into thejournalist’s Cartagena apartment at around 9 p.m. and shot him twice inthe abdomen, a family member told CPJ. The assailant then fled on theback of a motorcycle. Pérez was pronounced dead at the HospitalUniversitario del Caribe."
219,2006,Confirmed,Atwar Bahjat,,Iraq,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/atwar_bahjat_iraq_2006.jpg,Al-Aarabiya,Journalist,,Murder,Killed,Staff,Al-Arabiya,Broadcast Reporter,War,Television,Iraq,Samarra,,,Samarra,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"February 23, 2006","The bodies of correspondent Atwar Bahjat, cameraman Khaled Mahmoud al-Falahi,and engineer Adnan Khairallah were found near Samarra, a day after the stationlost contact with the crew, editors at Al-Arabiya told CPJ. Bahjat, 30, was awell-known on-air figure. Al-Arabiya said she had recently joined the channelafter working as a correspondent for the Arabic satellite channelAl-Jazeera."
220,2014,Confirmed,"Aung Kyaw Naing, ""Par Gyi""",,Myanmar,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Killed-Burma-Par-Gyi-Reuters.jpg,Reuters/Soe Zeya Tun,Journalist,,Murder,Killed,Freelance,Freelance,"Photographer,Print Reporter","Human Rights,War",Print,Myanmar,Kyaikmayaw,,,Kyaikmayaw,,Local,Military Officials,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,"October 4, 2014","Myanmar’s military said it shot and killed Aung Kyaw Naing, 49, a Burmese freelance reporter, while holding him in custody near Kyaikmayaw Township in the country’s southeastern Mon state, according to news reports."
